project nr (LAGeSo Reg.nr):,animal-ID (Ear):,FEM Eingangsnr:,FEM Zuchtnummer (nur für G0222/14 Projekte):,Transponder               (FEM):,strain:,sex:,birth/age:,origin,arrival AOCF:,out date:,Responsible researcher:,,,,
A0366/17,2344 (44),EFTH-00123,,,Fra2 L62-s1,Female,7/28/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2345 (45),EFTH-00123,,,Fra2 L62-s1,Female,7/28/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2346 (46),EFTH-00123,,,Fra2 L62-s1,Female,7/28/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2347 (47),EFTH-00123,,,Fra2 L62-s1,Female,7/28/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2451 (51),EFTH-00123,,,C57Bl/6J,Female,8/2/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2452 (52),EFTH-00123,,,C57Bl/6J,Female,8/2/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2453 (53),EFTH-00123,,,C57Bl/6J,Female,8/2/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2454 (54),EFTH-00123,,,C57Bl/6J,Female,8/2/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2455 (55),EFTH-00123,,,C57Bl/6J,Female,8/2/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2482 (82),EFTH-00123,,,Fra2 L62-s1,Female,8/13/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2483 (83),EFTH-00123,,,Fra2 L62-s1,Female,8/13/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2511 (11),EFTH-00123,,,C57Bl/6J,Female,8/13/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2512 (12),EFTH-00123,,,C57Bl/6J,Female,8/13/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2513 (13),EFTH-00123,,,C57Bl/6J,Female,8/13/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2514 (14),EFTH-00123,,,C57Bl/6J,Female,8/13/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2515 (15),EFTH-00123,,,C57Bl/6J,Female,8/13/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2516 (16),EFTH-00123,,,C57Bl/6J,Female,8/13/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2517 (17),EFTH-00123,,,C57Bl/6J,Female,8/13/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2518 (18),EFTH-00123,,,C57Bl/6J,Female,8/13/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2536 (36),EFTH-00123,,,C57Bl/6J,Female,8/27/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2537 (37),EFTH-00123,,,C57Bl/6J,Female,8/27/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2538 (38),EFTH-00123,,,C57Bl/6J,Female,8/27/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2539 (39),EFTH-00123,,,C57Bl/6J,Female,8/27/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2562 (62),EFTH-00123,,,Fra2 L62-s1,Female,8/23/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2566 (66),EFTH-00123,,,Fra2 L62-s1,Female,8/26/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2567 (67),EFTH-00123,,,Fra2 L62-s1,Female,8/26/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2568 (68),EFTH-00123,,,Fra2 L62-s1,Female,8/26/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2569 (69),EFTH-00123,,,Fra2 L62-s1,Female,8/26/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2721 (21),EFTH-00123,,,Fra2 L62-s1,Female,9/24/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2722 (22),EFTH-00123,,,Fra2 L62-s1,Female,9/24/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2723(23),EFTH-00123,,,Fra2 L62-s1,Female,9/24/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2724 (24),EFTH-00123,,,Fra2 L62-s1,Female,9/24/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2725 (25),EFTH-00123,,,Fra2 L62-s1,Female,9/24/17,MDC,2/23/18,,"AOCF, Theuring",,,,
A0366/17,2726 (26),EFTH-00123,,,Fra2 L62-s1,Female,9/24/17,MDC,2/23/18,,"AOCF, Theuring",,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
