,Interval summary,,,,,,,,,,,,Velocity classes,,,,,,,,,,Zone: block,,,,,,,,,,,Zone: Ball,,,,,,,,,,,Zone: arena,,,,,,,,,,
animal ,Group,Date,Time,Run time,Avg. velocity (cm/s),Track length (cm),Activity (%),Ambulations,ZC,R ZC,Wall dist. (cm),Area covered (%),vc 1 (s),vc 2 (s),vc 3 (s),vc 4 (s),vc 5 (s),vc 6 (s),vc 7 (s),vc 8 (s),vc 9 (s),vc 10 (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s)
11,,14.03.2018,14:36:07,0:01:00,5,299,59.8,202,48,180,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.3,0,0,1,0,0,0,0,0,0,8.1,0.9,0,0,1,0,0,0,0,0,3,25.5,60,5,299,0,0,0,0,0,59.8,202,0
11,,14.03.2018,14:37:07,0:02:00,5,299.5,70.8,199,68,157,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",2.5,17.5,13.9,7,0,0,0,0,33,3,40.5,1.1,0,0,2,0,0,0,0,0,3,45.8,60,5,299.5,0,0,0,0,0,70.8,199,0
11,,14.03.2018,14:38:07,0:03:00,3.4,200.9,59.4,263,40,81,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1,19.9,7.9,5,0,0,0,0,23,1,30.9,7.4,0,0,2,0,0,0,0,0,39,42,60,3.4,200.9,0,0,0,0,0,59.4,263,0
12,,14.03.2018,14:44:16,0:01:00,7.2,433,73.1,172,94,273,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,2,0,0,0,0,0,4,40.1,60,7.2,433,0,0,0,0,0,73.1,172,0
12,,14.03.2018,14:45:16,0:02:00,5.8,349,68.3,164,61,222,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.4,0,0,1,0,0,0,0,0,1,16.4,0,0,0,0,0,0,0,0,0,0,0,60,5.8,349,0,0,0,0,0,68.3,164,0
12,,14.03.2018,14:46:16,0:03:00,6.9,416.9,74.5,162,106,288,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.2,0,0,2,0,0,0,0,0,1,33.9,2.1,0,0,3,0,0,0,0,0,11,19.9,60,6.9,416.9,0,0,0,0,0,74.5,162,0
13,,14.03.2018,14:56:24,0:01:00,8,482.9,75.1,151,100,336,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.2,0,0,3,0,0,0,0,0,1,18.4,7.6,0,0,7,0,0,0,0,0,17,12.9,60,8,482.9,0,0,0,0,0,75.1,151,0
13,,14.03.2018,14:57:24,0:02:00,5.7,342.8,74.2,133,105,251,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",3.6,0,0,3,0,0,0,0,0,1,4,5.2,0,0,4,0,0,0,0,0,13,6.1,60,5.7,342.8,0,0,0,0,0,74.2,133,0
13,,14.03.2018,14:58:24,0:03:00,3.9,236.4,72.9,185,44,115,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,3,0,0,0,0,0,15,38,59.9,3.9,236.4,0,0,0,0,0,72.9,185,0
14,,14.03.2018,15:08:14,0:01:00,6.1,366.2,72.8,158,85,241,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,0,0,0,0,17,0.9,60,6.1,366.2,0,0,0,0,0,72.8,158,0
14,,14.03.2018,15:09:14,0:02:00,5.2,313.6,71.9,164,61,210,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.6,0,0,4,0,0,0,0,0,0,30.8,3.9,0,0,2,0,0,0,0,0,11,40.3,60,5.2,313.6,0,0,0,0,0,71.9,164,0
14,,14.03.2018,15:10:14,0:03:00,1.8,106.6,44.8,228,51,46,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,1,0,0,0,0,0,4,1.4,60,1.8,106.6,0,0,0,0,0,44.8,228,0
21,,14.03.2018,12:36:32,0:01:00,7.8,468.4,81.1,128,113,315,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.7,0,0,6,0,0,0,0,0,3,3.4,6.4,0,0,7,0,0,0,0,0,29,7.4,60,7.8,468.4,0,0,0,0,0,81.1,128,0
21,,14.03.2018,12:37:32,0:02:00,6.2,373.8,77.6,155,85,219,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",3.1,0,0,9,0,0,0,0,0,7,1.2,6.7,4.8,4,7,0,0,0,0,88.8,20,15.2,60,6.2,373.8,0,0,0,0,0,77.6,155,0
21,,14.03.2018,12:38:32,0:03:00,5.9,353.3,70.5,162,76,216,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.4,13.8,1.1,6,0,0,0,0,100,5,19.8,1.1,0,0,5,0,0,0,0,0,4,0.1,60,5.9,353.3,0,0,0,0,0,70.5,162,0
22,,14.03.2018,12:46:14,0:01:00,2.3,139,51.1,244,19,46,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2.3,139,0,0,0,0,0,51.1,244,0
22,,14.03.2018,12:47:14,0:02:00,6.6,393.9,73.3,176,116,267,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.4,0,0,3,0,0,0,0,0,3,11.6,2.1,0,0,1,0,0,0,0,0,12,50.6,60,6.6,393.9,0,0,0,0,0,73.3,176,0
22,,14.03.2018,12:48:14,0:03:00,8.8,527,84.1,104,128,362,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.3,0,0,3,0,0,0,0,0,2,39.2,7.3,0,0,9,0,0,0,0,0,33,3.3,60,8.8,527,0,0,0,0,0,84.1,104,0
23,,14.03.2018,12:58:16,0:01:00,4.5,269.9,62.4,196,56,168,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,4.5,269.9,0,0,0,0,0,62.4,196,0
23,,14.03.2018,12:59:16,0:02:00,4.6,278.1,55.3,184,47,161,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,4.6,278.1,0,0,0,0,0,55.3,184,0
23,,14.03.2018,13:00:16,0:03:00,5.5,327.2,76.4,178,78,196,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.9,5.5,327.2,0,0,0,0,0,76.4,178,0
24,,14.03.2018,13:09:58,0:01:00,5.5,330.1,69.3,191,67,182,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.2,0,0,1,0,0,0,0,0,1,36,0.3,0,0,2,0,0,0,0,0,0,17.3,60,5.5,330.1,0,0,0,0,0,69.3,191,0
24,,14.03.2018,13:10:58,0:02:00,2.5,148,58.3,293,61,54,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2.5,148,0,0,0,0,0,58.3,293,0
24,,14.03.2018,13:11:58,0:03:00,5.7,341.9,68.9,222,83,221,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",4.4,17.7,9.2,9,0,0,0,0,61.5,10,42,1.5,0,0,3,0,0,0,0,0,8,21.9,60,5.7,341.9,0,0,0,0,0,68.9,222,0
25,,14.03.2018,13:22:11,0:01:00,9.6,576.2,86.6,111,127,406,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",3.7,24.1,8.7,6,0,0,0,0,36.5,4,9.8,4.7,0,0,4,0,0,0,0,0,17,12.5,60,9.6,576.2,0,0,0,0,0,86.6,111,0
25,,14.03.2018,13:23:11,0:02:00,4.3,261.1,75.1,219,68,114,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,4,0,0,0,0,0,18,2.1,60,4.3,261.1,0,0,0,0,0,75.1,219,0
25,,14.03.2018,13:24:11,0:03:00,5.2,310.1,67.1,229,64,215,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.8,36.3,6.1,1,0,0,0,0,72.8,1,5.6,16.6,0,0,9,0,0,0,0,0,79,2.1,59.9,5.2,310.1,0,0,0,0,0,67.1,229,0
26,,14.03.2018,16:27:42,0:01:00,10.2,610.3,86.4,100,148,436,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",4.7,19.4,1.2,13,0,0,0,0,100,8,6.6,5.2,0,0,6,0,0,0,0,0,21,11.6,60,10.2,610.3,0,0,0,0,0,86.4,100,0
26,,14.03.2018,16:28:42,0:02:00,12.9,774.3,92.3,76,213,633,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",2.2,3,1.9,6,0,0,0,0,12.9,2,3.4,6.9,0,0,6,0,0,0,0,0,22,1.2,60,12.9,774.3,0,0,0,0,0,92.3,76,0
26,,14.03.2018,16:29:42,0:03:00,6.1,367.6,74.5,163,98,233,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,3,0,0,0,0,0,2,0.1,60,6.1,367.6,0,0,0,0,0,74.5,163,0
51,,14.03.2018,10:42:02,0:01:00,9.7,582.6,87.2,107,126,405,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,1,0,0,0,0,0,4,38.7,60,9.7,582.6,0,0,0,0,0,87.2,107,0
51,,14.03.2018,10:43:02,0:02:00,2.7,159.3,60.1,261,17,48,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2.7,159.3,0,0,0,0,0,60.1,261,0
51,,14.03.2018,10:44:02,0:03:00,6,361,72.3,192,82,254,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,4,0,0,0,0,0,12,26.5,60,6,361,0,0,0,0,0,72.3,192,0
52,,14.03.2018,11:11:00,0:01:00,5.7,339.3,80.5,52,76,240,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,2,0,0,0,0,0,2,16.7,60,5.7,339.3,1,0,0,0,0,80.5,52,0
52,,14.03.2018,11:12:00,0:02:00,7.9,471.7,90.2,23,112,358,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",9.2,32.2,7.7,10,0,0,0,0,100,4,40.2,2.8,0,0,3,0,0,0,0,0,4,13.1,60,7.9,471.7,0,0,0,0,0,90.2,23,0
52,,14.03.2018,11:12:58,0:02:59,5.4,314.8,88.8,35,75,221,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",3.8,0,0,2,0,0,0,0,0,3,3.2,11.8,0,0,7,0,0,0,0,0,11,5.6,58.8,5.4,314.8,0,0,0,0,0,88.8,35,0
53,,14.03.2018,11:02:01,0:01:00,7.9,477.1,72.6,155,93,325,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.2,0,0,1,0,0,0,0,0,1,43.2,2.1,0,0,3,0,0,0,0,0,10,1.3,60,7.9,477.1,0,0,0,0,0,72.6,155,0
53,,14.03.2018,11:03:01,0:02:00,5.4,324.8,69,187,76,209,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.7,0,0,4,0,0,0,0,0,6,4.7,1.9,0,0,3,0,0,0,0,0,8,19.9,60,5.4,324.8,0,0,0,0,0,69,187,0
53,,14.03.2018,11:04:01,0:03:00,3.1,184.2,59.9,243,32,88,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.5,0,0,2,0,0,0,0,0,1,35.3,0,0,0,0,0,0,0,0,0,0,0,60,3.1,184.2,0,0,0,0,0,59.9,243,0
54,,14.03.2018,11:17:13,0:01:00,5.7,344.9,75.8,159,77,203,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.4,0,0,1,0,0,0,0,0,0,12.6,1.8,0,0,3,0,0,0,0,0,7,6.3,60,5.7,344.9,0,0,0,0,0,75.8,159,0
54,,14.03.2018,11:18:13,0:02:00,3.6,214,61.5,209,76,111,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.4,0,0,1,0,0,0,0,0,5,58.6,5.4,0,0,7,0,0,0,0,0,24,9,60,3.6,214,0,0,0,0,0,61.5,209,0
54,,14.03.2018,11:19:13,0:03:00,4.1,247.5,64,200,57,108,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",4.2,69.2,12.9,4,0,0,0,0,100,14,3.3,3.1,0,0,6,0,0,0,0,0,8,14.7,59.9,4.1,247.5,0,0,0,0,0,64,200,0
55,,14.03.2018,11:26:59,0:01:00,8.6,516.8,84.1,121,115,358,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",2.6,0,0,7,0,0,0,0,0,8,6.3,1.8,0,0,4,0,0,0,0,0,8,3.5,60,8.6,516.8,0,0,0,0,0,84.1,121,0
