Interval summary,,,,,,,,,,,,Velocity classes,,,,,,,,,,Zone: block,,,,,,,,,,,Zone: Ball,,,,,,,,,,,Zone: arena,,,,,,,,,,
No.,Date,Group,Run time,Avg. velocity (cm/s),Track length (cm),Activity (%),Ambulations,ZC,R ZC,Wall dist. (cm),Area covered (%),vc 1 (s),vc 2 (s),vc 3 (s),vc 4 (s),vc 5 (s),vc 6 (s),vc 7 (s),vc 8 (s),vc 9 (s),vc 10 (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s)
11,3/14/18,,0:03:00,4.4,799.4,63.3,664,156,418,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",3.8,18.3,21.8,13,0,0,0,0,29.7,4,8.1,9.4,0,0,5,0,0,0,0,0,45,25.5,180,4.4,799.4,0,0,0,0,0,63.3,664,0
12,3/14/18,,0:03:00,6.7,1198.9,72,498,261,783,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.6,0,0,3,0,0,0,0,0,2,76.4,3,0,0,5,0,0,0,0,0,15,40.1,180,6.7,1198.9,0,0,0,0,0,72,498,0
13,3/14/18,,0:03:00,5.9,1062.1,74,469,249,702,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",4.8,0,0,6,0,0,0,0,0,2,18.4,19.2,0,0,14,0,0,0,0,0,45,12.9,180,5.9,1062.1,0,0,0,0,0,74,469,0
14,3/14/18,,0:03:00,4.4,786.4,63.2,550,197,497,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.6,0,0,4,0,0,0,0,0,0,90.8,11.4,0,0,15,0,0,0,0,0,32,0.9,180,4.4,786.4,0,0,0,0,0,63.2,550,0
21,3/14/18,,0:03:00,6.6,1195.5,76.4,445,274,750,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",6.1,13.8,1.1,21,0,0,0,0,100,15,3.4,14.3,4.8,4,19,0,0,0,0,88.8,53,7.4,180,6.6,1195.5,0,0,0,0,0,76.4,445,0
22,3/14/18,,0:03:00,5.9,1059.9,69.5,524,263,675,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",2.7,0,0,6,0,0,0,0,0,5,71.6,9.4,0,0,10,0,0,0,0,0,45,110.6,180,5.9,1059.9,0,0,0,0,0,69.5,524,0
23,3/14/18,,0:03:00,4.9,875.2,64.7,558,181,525,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,4.9,875.2,0,0,0,0,0,64.7,558,0
24,3/14/18,,0:03:00,4.6,820,65.5,706,211,457,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",4.6,17.7,9.2,10,0,0,0,0,61.5,11,36,1.8,0,0,5,0,0,0,0,0,8,17.3,180,4.6,820,0,0,0,0,0,65.5,706,0
25,3/14/18,,0:03:00,6.4,1147.4,76.3,559,259,735,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",4.5,28,14.9,7,0,0,0,0,48,5,9.8,25.2,0,0,17,0,0,0,0,0,114,12.5,180,6.4,1147.4,0,0,0,0,0,76.3,559,0
51,3/14/18,,0:03:57,5.3,1246.4,68,818,244,773,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,5,0,0,0,0,0,16,38.7,237.2,5.3,1246.4,0,0,0,0,0,68,818,0
52,3/14/18,,0:02:59,6.3,1125.9,86.5,110,263,819,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",13.1,32.2,7.7,12,0,0,0,0,100,7,100.2,15.7,0,0,12,0,0,0,0,0,17,16.7,178.8,6.3,1125.9,1,0,0,0,0,86.5,110,0
53,3/14/18,,0:03:02,5.4,988.8,67,598,201,622,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",2.4,0,0,7,0,0,0,0,0,8,43.2,4.1,0,0,6,0,0,0,0,0,18,1.3,181.9,5.4,988.8,0,0,0,0,0,67,598,0
54,3/14/18,,0:03:00,4.5,806.4,67.1,568,210,422,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",6,69.2,12.9,6,0,0,0,0,100,19,12.6,10.2,0,0,16,0,0,0,0,0,39,6.3,180,4.5,806.4,0,0,0,0,0,67.1,568,0
55,3/14/18,,0:03:00,6.3,1140.4,73.3,453,233,745,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",5.5,10.4,1.6,15,0,0,0,0,100,15,6.3,10.1,0,0,12,0,0,0,0,0,46,3.5,180,6.3,1140.4,0,0,0,0,0,73.3,453,0
82,3/14/18,,0:03:00,5.1,918.5,66.3,494,204,541,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,5.1,918.5,0,0,0,0,0,66.3,494,0
26,3/14/18,,0:03:00,9.7,1752.2,84.4,339,459,1302,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",6.9,4.4,3.1,19,0,0,0,0,20.5,10,6.6,13.6,0,0,15,0,0,0,0,0,45,11.6,180,9.7,1752.2,0,0,0,0,0,84.4,339,0
83,3/14/18,,0:03:00,7.8,1402.1,78.5,431,312,937,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.4,0,0,5,0,0,0,0,0,1,127,3.1,0,0,4,0,0,0,0,0,17,9.9,180,7.8,1402.1,0,0,0,0,0,78.5,431,0
62,3/15/18,,0:03:00,3.5,626,61.1,654,108,284,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,3.5,626,0,0,0,0,0,61.1,654,0
66,3/15/18,,0:03:00,4.9,875,63.9,514,172,522,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.6,0,0,7,0,0,0,0,0,1,75.4,10.5,0,0,7,0,0,0,0,0,49,50.8,180,4.9,875,0,0,0,0,0,63.9,514,0
67,3/15/18,,0:03:00,8.2,1474.8,77.7,453,340,958,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",16.7,1.7,2,56,0,0,0,0,34,36,25.9,11.3,0,0,16,0,0,0,0,0,57,34.6,180,8.2,1474.8,0,0,0,0,0,77.7,453,0
68,3/15/18,,0:03:00,7.9,1415,78.3,377,318,984,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",8.7,12,9.5,17,0,0,0,0,38.9,17,11.9,10.1,0,0,10,0,0,0,0,0,28,34.2,180,7.9,1415,0,0,0,0,0,78.3,377,0
69,3/15/18,,0:03:00,4.2,747.1,58.6,495,172,446,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",2,0,0,14,0,0,0,0,0,1,2,0.9,0,0,1,0,0,0,0,0,0,173.4,180,4.2,747.1,0,0,0,0,0,58.6,495,0
44,3/15/18,,0:03:00,6.6,1183.9,75.1,433,274,739,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",2,0,0,3,0,0,0,0,0,8,95.9,3.3,0,0,7,0,0,0,0,0,12,11.9,180,6.6,1183.9,0,0,0,0,0,75.1,433,0
45,3/15/18,,0:03:00,7.6,1369.7,84,382,305,879,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",5.3,31.1,7.1,9,0,0,0,0,86,8,4.1,13.8,22.9,3,26,0,0,0,0,100,42,49.9,180,7.6,1369.7,0,0,0,0,0,84,382,0
46,3/15/18,,0:03:00,4.8,857.4,64.1,578,150,465,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,7,0,0,0,0,0,23,81.1,180,4.8,857.4,0,0,0,0,0,64.1,578,0
