,Interval summary,,,,,,,,,,,,Velocity classes,,,,,,,,,,Zone: block,,,,,,,,,,,Zone: Ball,,,,,,,,,,,Zone: arena,,,,,,,,,,
animal ,Group,Date,Time,Run time,Avg. velocity (cm/s),Track length (cm),Activity (%),Ambulations,ZC,R ZC,Wall dist. (cm),Area covered (%),vc 1 (s),vc 2 (s),vc 3 (s),vc 4 (s),vc 5 (s),vc 6 (s),vc 7 (s),vc 8 (s),vc 9 (s),vc 10 (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s)
11,,14.03.2018,13:31:08,0:01:00,4,238,65.8,229,135,393,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.2,0,0,1,0,0,0,0,0,0,9.1,0.2,0,0,5,0,0,0,0,0,0,3.9,60,4,238,0,0,0,0,0,65.8,229,0
11,,14.03.2018,13:32:08,0:02:00,4.5,269.6,67.2,207,147,435,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",3,11.1,7.6,2,0,0,0,0,29.1,2,18.8,0,0,0,0,0,0,0,0,0,0,0,60,4.5,269.6,0,0,0,0,0,67.2,207,0
11,,14.03.2018,13:33:08,0:03:00,7.6,453.4,78.9,128,276,800,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",7.5,15,35.4,12,0,0,0,0,59.5,15,2,2.5,33.4,3.1,4,0,0,0,0,100,4,13.8,60,7.6,453.4,0,0,0,0,0,78.9,128,0
11,,14.03.2018,13:34:08,0:04:00,5.6,338.6,73.7,184,193,535,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",5.4,1.8,1.6,5,0,0,0,0,43.2,9,7.2,2.4,15,15.1,5,0,0,0,0,55.6,6,19.6,60,5.6,338.6,0,0,0,0,0,73.7,184,0
11,,14.03.2018,13:35:08,0:05:00,5.1,304.9,58.1,184,194,501,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",16.5,5,25.6,10,0,0,0,0,21.4,31,1.5,15.3,71.5,7.9,13,0,0,0,0,70,78,12.7,60,5.1,304.9,0,0,0,0,0,58.1,184,0
11,,14.03.2018,13:36:08,0:06:00,5.9,352.6,77.8,187,195,657,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",2.4,0,0,5,0,0,0,0,0,8,31.9,0.8,0,0,1,0,0,0,0,0,0,36.8,60,5.9,352.6,0,0,0,0,0,77.8,187,0
11,,14.03.2018,13:37:08,0:07:00,5.7,343.5,77.5,150,202,621,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",4,5.1,3.6,3,0,0,0,0,48.5,9,54.4,3,3.2,0.5,3,0,0,0,0,64,11,18.4,60,5.7,343.5,0,0,0,0,0,77.5,150,0
11,,14.03.2018,13:38:08,0:08:00,4.5,267.6,73.8,226,142,392,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.2,12,1.1,3,0,0,0,0,100,4,0.1,0,0,0,0,0,0,0,0,0,0,0,60,4.5,267.6,0,0,0,0,0,73.8,226,0
11,,14.03.2018,13:39:08,0:09:00,5.8,350.6,71.4,196,195,591,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",5.7,4.1,11.7,13,0,0,0,0,48.6,25,42.2,2.4,58.8,6.4,4,0,0,0,0,100,3,3,60,5.8,350.6,0,0,0,0,0,71.4,196,0
11,,14.03.2018,13:40:08,0:10:00,5.9,356.1,65.4,146,212,649,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",4.9,2.7,0.9,11,0,0,0,0,12.7,15,1.3,9.8,3.6,3.7,12,0,0,0,0,30.9,14,13.2,60,5.9,356.1,0,0,0,0,0,65.4,146,0
12,,14.03.2018,13:45:09,0:01:00,10.2,612.3,82.9,107,358,1254,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.5,0,0,2,0,0,0,0,0,2,6.9,0.4,0,0,2,0,0,0,0,0,1,19.3,60,10.2,612.3,0,0,0,0,0,82.9,107,0
