Interval summary,,,,,,,,,,,,Velocity classes,,,,,,,,,,Zone: block,,,,,,,,,,,Zone: Ball,,,,,,,,,,,Zone: arena,,,,,,,,,,
No.,Date,Group,Run time,Avg. velocity (cm/s),Track length (cm),Activity (%),Ambulations,ZC,R ZC,Wall dist. (cm),Area covered (%),vc 1 (s),vc 2 (s),vc 3 (s),vc 4 (s),vc 5 (s),vc 6 (s),vc 7 (s),vc 8 (s),vc 9 (s),vc 10 (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s)
11,3/14/18,,0:10:00,5.5,3275,71,1837,1891,5574,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",50.8,6.7,87.6,65,0,0,0,0,37.9,118,9.1,36.5,14.6,36.7,47,0,0,0,0,50.2,116,3.9,600,5.5,3275,0,0,0,0,0,71,1837,0
12,3/14/18,,0:10:00,7,4194.7,78,1630,2504,7617,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",32.2,13.6,24.7,48,0,0,0,0,46.4,80,6.9,27.3,12.2,10.9,42,0,0,0,0,41.8,84,19.3,600,7,4194.7,0,0,0,0,0,78,1630,0
13,3/14/18,,0:10:00,6.7,4035,77.5,1632,2388,7129,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",17.4,3.3,12.2,25,0,0,0,0,23.2,42,28.6,19.4,10.8,33.3,39,0,0,0,0,75.5,39,15.6,600,6.7,4035,0,0,0,0,0,77.5,1632,0
14,3/14/18,,0:10:00,4.9,2925,65.2,1911,1780,5202,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",17.6,26.3,13.3,27,0,0,0,0,45.4,57,3,19.1,8.9,23.9,53,0,0,0,0,90.2,56,7,600,4.9,2925,0,0,0,0,0,65.2,1911,0
21,3/14/18,,0:10:00,4.8,2877.2,63.8,1985,1778,4550,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",34.8,11.7,62.7,37,0,0,0,0,37.6,69,126.2,22.6,10.7,48.2,60,0,0,0,0,49.7,46,131.6,600,4.8,2877.2,0,0,0,0,0,63.8,1985,0
22,3/14/18,,0:10:00,4.8,2878.8,68.2,1894,1781,4450,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",13.2,14.6,39.2,29,0,0,0,0,51.4,38,50.4,18.1,10,10.1,34,0,0,0,0,42.4,45,178.9,600,4.8,2878.8,0,0,0,0,0,68.2,1894,0
23,3/14/18,,0:10:00,3.6,2170.6,54.8,1996,1301,3477,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.5,0,0,9,0,0,0,0,0,1,38.5,0.3,0,0,2,0,0,0,0,0,0,94.8,600,3.6,2170.6,0,0,0,0,0,54.8,1996,0
24,3/14/18,,0:10:00,3.7,2247.1,62.4,2218,1468,3328,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",18.8,4.3,5.4,44,0,0,0,0,86.2,49,77.9,7.3,21.8,14.1,16,0,0,0,0,66,17,34.2,600,3.7,2247.1,0,0,0,0,0,62.4,2218,0
25,3/14/18,,0:10:00,5.9,3547.6,73,1840,2187,6319,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",23.3,8.6,24.9,58,0,0,0,0,72.1,36,60.2,33.1,5.9,29.1,65,0,0,0,0,43.8,71,13.2,600,5.9,3547.6,0,0,0,0,0,73,1840,0
26,3/14/18,,0:10:00,8,4776.1,74.7,1550,2957,9401,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",22.5,15.5,55.8,46,0,0,0,0,58.5,49,2.2,13.3,21,22.6,40,0,0,0,0,54.6,30,54,599.9,8,4776.1,0,0,0,0,0,74.7,1550,0
